Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"6p6.15p"	"2P*"	"3/2"	""	"0.14513135"	""	"0.00000023"	"L11797"
"6p6.14d"	"2D"	"3/2"	""	"0.14519984"	""	"0.00000003"	"L10669"
"6p6.14d"	"2D"	"5/2"	""	"0.14521730"	""	"0.00000003"	"L10669"
"6p6.16s"	"2S"	"1/2"	""	"0.14548282"	""	"0.00000003"	"L10669"
"6p6.16p"	"2P*"	"1/2"	""	"0.14582186"	""	"0.00000023"	"L11797"
"6p6.16p"	"2P*"	"3/2"	""	"0.14588725"	""	"0.00000023"	"L11797"
"6p6.15d"	"2D"	"3/2"	""	"0.14593900"	""	"0.00000003"	"L10669"
"6p6.15d"	"2D"	"5/2"	""	"0.14595227"	""	"0.00000003"	"L10669"
"6p6.17s"	"2S"	"1/2"	""	"0.14615581"	""	"0.00000003"	"L10669"
"6p6.17p"	"2P*"	"1/2"	""	"0.14641797"	""	"0.00000023"	"L11797"
"6p6.17p"	"2P*"	"3/2"	""	"0.14646886"	""	"0.00000023"	"L11797"
"6p6.16d"	"2D"	"3/2"	""	"0.14650886"	""	"0.00000003"	"L10669"
"6p6.16d"	"2D"	"5/2"	""	"0.14651932"	""	"0.00000003"	"L10669"
"6p6.18s"	"2S"	"1/2"	""	"0.14667869"	""	"0.00000003"	"L10669"
"6p6.18p"	"2P*"	"1/2"	""	"0.14688554"	""	"0.00000023"	"L11797"
"6p6.18p"	"2P*"	"3/2"	""	"0.14692591"	""	"0.00000023"	"L11797"
"6p6.17d"	"2D"	"3/2"	""	"0.14695753"	""	"0.00000003"	"L10669"
"6p6.17d"	"2D"	"5/2"	""	"0.14696585"	""	"0.00000003"	"L10669"
"6p6.19s"	"2S"	"1/2"	""	"0.14709299"	""	"0.00000003"	"L10669"
